cmo,school,quart,grade,subject,boy,moy,eoy
ReNEW,Dolores T Aaron Elementary,Bottom Quartile,0,math,0.6,0.173913043,
ReNEW,Schaumburg Elementary,Top Quartile,0,math,0.03,0.082191781,
ReNEW,Schaumburg Elementary,3rd Quartile,0,math,0.04,0.150684932,
ReNEW,Schaumburg Elementary,2nd Quartile,0,math,0.16,0.219178082,
ReNEW,Schaumburg Elementary,Bottom Quartile,0,math,0.77,0.547945205,
Ingenuity Prep,Ingenuity Prep,Top Quartile,0,math,0.09,0.35,
Ingenuity Prep,Ingenuity Prep,3rd Quartile,0,math,0.23,0.27,
Ingenuity Prep,Ingenuity Prep,2nd Quartile,0,math,0.26,0.18,
Ingenuity Prep,Ingenuity Prep,Bottom Quartile,0,math,0.42,0.2,
E.L. Haynes PCS,E.L. Haynes PCS,Top Quartile,0,math,,0.234042553,
E.L. Haynes PCS,E.L. Haynes PCS,3rd Quartile,0,math,,0.14893617,
E.L. Haynes PCS,E.L. Haynes PCS,2nd Quartile,0,math,,0.255319149,
E.L. Haynes PCS,E.L. Haynes PCS,Bottom Quartile,0,math,,0.361702128,
DC Prep,DC Prep-Edgewood Elementary Campus,Top Quartile,0,math,0.29,0.46,
DC Prep,DC Prep-Edgewood Elementary Campus,3rd Quartile,0,math,0.26,0.26,
DC Prep,DC Prep-Edgewood Elementary Campus,2nd Quartile,0,math,0.28,0.16,
DC Prep,DC Prep-Edgewood Elementary Campus,Bottom Quartile,0,math,0.17,0.12,
DC Prep,DC Prep-Benning Elementary Campus,Top Quartile,0,math,0.19,0.33,
DC Prep,DC Prep-Benning Elementary Campus,3rd Quartile,0,math,0.32,0.27,
DC Prep,DC Prep-Benning Elementary Campus,2nd Quartile,0,math,0.32,0.24,
DC Prep,DC Prep-Benning Elementary Campus,Bottom Quartile,0,math,0.17,0.16,
Rocketship,Rocketship Mateo Sheedy,Top Quartile,0,math,0.120689655,0.258928571,
Rocketship,Rocketship Mateo Sheedy,3rd Quartile,0,math,0.112068966,0.205357143,
Rocketship,Rocketship Mateo Sheedy,2nd Quartile,0,math,0.327586207,0.214285714,
Rocketship,Rocketship Mateo Sheedy,Bottom Quartile,0,math,0.439655172,0.321428571,
Rocketship,Rocketship Si Se Puede,Top Quartile,0,math,0.053763441,0.434782609,
Rocketship,Rocketship Si Se Puede,3rd Quartile,0,math,0.193548387,0.173913043,
Rocketship,Rocketship Si Se Puede,2nd Quartile,0,math,0.322580645,0.184782609,
Rocketship,Rocketship Si Se Puede,Bottom Quartile,0,math,0.430107527,0.206521739,
Rocketship,Rocketship Los Suenos,Top Quartile,0,math,0.120689655,0.198275862,
Rocketship,Rocketship Los Suenos,3rd Quartile,0,math,0.077586207,0.267241379,
Rocketship,Rocketship Los Suenos,2nd Quartile,0,math,0.267241379,0.172413793,
Rocketship,Rocketship Los Suenos,Bottom Quartile,0,math,0.534482759,0.362068966,
Rocketship,Rocketship Mosaic,Top Quartile,0,math,0.166666667,0.322033898,
Rocketship,Rocketship Mosaic,3rd Quartile,0,math,0.083333333,0.13559322,
Rocketship,Rocketship Mosaic,2nd Quartile,0,math,0.3,0.271186441,
Rocketship,Rocketship Mosaic,Bottom Quartile,0,math,0.45,0.271186441,
Rocketship,Rocketship Discovery Prep,Top Quartile,0,math,0.055555556,0.222222222,
Rocketship,Rocketship Discovery Prep,3rd Quartile,0,math,0.155555556,0.133333333,
Rocketship,Rocketship Discovery Prep,2nd Quartile,0,math,0.3,0.244444444,
Rocketship,Rocketship Discovery Prep,Bottom Quartile,0,math,0.488888889,0.4,
Rocketship,Rocketship Brilliant Minds,Top Quartile,0,math,0.12371134,0.350515464,
Rocketship,Rocketship Brilliant Minds,3rd Quartile,0,math,0.092783505,0.268041237,
Rocketship,Rocketship Brilliant Minds,2nd Quartile,0,math,0.195876289,0.206185567,
Rocketship,Rocketship Brilliant Minds,Bottom Quartile,0,math,0.587628866,0.175257732,
Rocketship,Rocketship Alma Academy,Top Quartile,0,math,0.083333333,0.362903226,
Rocketship,Rocketship Alma Academy,3rd Quartile,0,math,0.183333333,0.233870968,
Rocketship,Rocketship Alma Academy,2nd Quartile,0,math,0.258333333,0.185483871,
Rocketship,Rocketship Alma Academy,Bottom Quartile,0,math,0.475,0.217741935,
Rocketship,Rocketship Spark Academy,Top Quartile,0,math,0.245454545,0.615384615,
Rocketship,Rocketship Spark Academy,3rd Quartile,0,math,0.145454545,0.153846154,
Rocketship,Rocketship Spark Academy,2nd Quartile,0,math,0.3,0.094017094,
Rocketship,Rocketship Spark Academy,Bottom Quartile,0,math,0.309090909,0.136752137,
Rocketship,Rocketship Southside Community Prep,Top Quartile,0,math,0.074074074,0.363636364,
Rocketship,Rocketship Southside Community Prep,3rd Quartile,0,math,0.259259259,0.227272727,
Rocketship,Rocketship Southside Community Prep,2nd Quartile,0,math,0.185185185,0.113636364,
Rocketship,Rocketship Southside Community Prep,Bottom Quartile,0,math,0.481481481,0.295454545,
ReNEW,ReNEW Cultural Arts Academy,Top Quartile,1,math,0.037735849,0.037735849,
ReNEW,ReNEW Cultural Arts Academy,3rd Quartile,1,math,0.132075472,0.188679245,
ReNEW,ReNEW Cultural Arts Academy,2nd Quartile,1,math,0.283018868,0.20754717,
ReNEW,ReNEW Cultural Arts Academy,Bottom Quartile,1,math,0.547169811,0.566037736,
ReNEW,SciTech Academy,Top Quartile,1,math,0.073170732,0.12195122,
ReNEW,SciTech Academy,3rd Quartile,1,math,0.231707317,0.317073171,
ReNEW,SciTech Academy,2nd Quartile,1,math,0.243902439,0.207317073,
ReNEW,SciTech Academy,Bottom Quartile,1,math,0.451219512,0.353658537,
ReNEW,Dolores T Aaron Elementary,Top Quartile,1,math,0.045977011,0.068965517,
ReNEW,Dolores T Aaron Elementary,3rd Quartile,1,math,0.126436782,0.206896552,
ReNEW,Dolores T Aaron Elementary,2nd Quartile,1,math,0.24137931,0.24137931,
ReNEW,Dolores T Aaron Elementary,Bottom Quartile,1,math,0.586206897,0.482758621,
ReNEW,Schaumburg Elementary,Top Quartile,1,math,0.037974684,0.037974684,
ReNEW,Schaumburg Elementary,3rd Quartile,1,math,0.050632911,0.17721519,
ReNEW,Schaumburg Elementary,2nd Quartile,1,math,0.202531646,0.227848101,
ReNEW,Schaumburg Elementary,Bottom Quartile,1,math,0.708860759,0.556962025,
E.L. Haynes PCS,E.L. Haynes PCS,Top Quartile,1,math,,0.142857143,
E.L. Haynes PCS,E.L. Haynes PCS,3rd Quartile,1,math,,0.12244898,
E.L. Haynes PCS,E.L. Haynes PCS,2nd Quartile,1,math,,0.326530612,
E.L. Haynes PCS,E.L. Haynes PCS,Bottom Quartile,1,math,,0.408163265,
DC Prep,DC Prep-Edgewood Elementary Campus,Top Quartile,1,math,0.47,0.3,
DC Prep,DC Prep-Edgewood Elementary Campus,3rd Quartile,1,math,0.29,0.39,
DC Prep,DC Prep-Edgewood Elementary Campus,2nd Quartile,1,math,0.13,0.17,
DC Prep,DC Prep-Edgewood Elementary Campus,Bottom Quartile,1,math,0.11,0.14,
DC Prep,DC Prep-Benning Elementary Campus,Top Quartile,1,math,0.18,0.19,
DC Prep,DC Prep-Benning Elementary Campus,3rd Quartile,1,math,0.48,0.4,
DC Prep,DC Prep-Benning Elementary Campus,2nd Quartile,1,math,0.22,0.28,
DC Prep,DC Prep-Benning Elementary Campus,Bottom Quartile,1,math,0.12,0.13,
Rocketship,Rocketship Mateo Sheedy,Top Quartile,1,math,0.273504274,0.327586207,
Rocketship,Rocketship Mateo Sheedy,3rd Quartile,1,math,0.316239316,0.181034483,
Rocketship,Rocketship Mateo Sheedy,2nd Quartile,1,math,0.162393162,0.206896552,
Rocketship,Rocketship Mateo Sheedy,Bottom Quartile,1,math,0.247863248,0.284482759,
Rocketship,Rocketship Si Se Puede,Top Quartile,1,math,0.394957983,0.449152542,
Rocketship,Rocketship Si Se Puede,3rd Quartile,1,math,0.226890756,0.279661017,
Rocketship,Rocketship Si Se Puede,2nd Quartile,1,math,0.218487395,0.177966102,
Rocketship,Rocketship Si Se Puede,Bottom Quartile,1,math,0.159663866,0.093220339,
Rocketship,Rocketship Los Suenos,Top Quartile,1,math,0.260869565,0.212389381,
Rocketship,Rocketship Los Suenos,3rd Quartile,1,math,0.260869565,0.336283186,
Rocketship,Rocketship Los Suenos,2nd Quartile,1,math,0.226086957,0.212389381,
Rocketship,Rocketship Los Suenos,Bottom Quartile,1,math,0.252173913,0.238938053,
Rocketship,Rocketship Mosaic,Top Quartile,1,math,0.368421053,0.369369369,
Rocketship,Rocketship Mosaic,3rd Quartile,1,math,0.166666667,0.261261261,
Rocketship,Rocketship Mosaic,2nd Quartile,1,math,0.192982456,0.153153153,
Rocketship,Rocketship Mosaic,Bottom Quartile,1,math,0.271929825,0.216216216,
Rocketship,Rocketship Discovery Prep,Top Quartile,1,math,0.327433628,0.339130435,
Rocketship,Rocketship Discovery Prep,3rd Quartile,1,math,0.221238938,0.226086957,
Rocketship,Rocketship Discovery Prep,2nd Quartile,1,math,0.256637168,0.208695652,
Rocketship,Rocketship Discovery Prep,Bottom Quartile,1,math,0.194690265,0.226086957,
Rocketship,Rocketship Brilliant Minds,Top Quartile,1,math,0.280701754,0.221238938,
Rocketship,Rocketship Brilliant Minds,3rd Quartile,1,math,0.219298246,0.371681416,
Rocketship,Rocketship Brilliant Minds,2nd Quartile,1,math,0.263157895,0.230088496,
